filename,image_path,latitude,longitude,heading,camera_point,index_right,property_id,FULLADDR,parcel_geom,parcel_centroid_proj,parcel_rep_pt_proj,distance_boundary_ft,distance_centroid_ft,bearing_to_parcel_deg,angle_diff_deg,match_score,camera_point_wkt,parcel_geom_wkt,parcel_centroid_proj_wkt,parcel_rep_pt_proj_wkt,geometry_wkt
Run 10_Camera 4 360_23_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_23_1.jpg,39.30536361111111,-76.58272138888888,85.7137174,POINT (1430412.2857729013 597072.8792034881),48305,1538 014,1215 N MILTON AVE,"POLYGON ((1430545.9650842366 597071.1945309081, 1430545.625115834 597085.2637817684, 1430455.2750176215 597080.284066579, 1430452.27520902 597080.1238104872, 1430453.1154015337 597066.0740156465, 1430542.9652756394 597071.0240348132, 1430545.9650842366 597071.1945309081))",POINT (1430499.2457182028 597075.6678739119),POINT (1430499.1997000836 597075.6591706977),40.350585437106126,87.00464797685692,88.1680024244974,2.454285024497409,42.804870461603535,POINT (1430412.285773 597072.879203),"POLYGON ((1430545.965084 597071.194531, 1430545.625116 597085.263782, 1430455.275018 597080.284067, 1430452.275209 597080.12381, 1430453.115402 597066.074016, 1430542.965276 597071.024035, 1430545.965084 597071.194531))",POINT (1430499.245718 597075.667874),POINT (1430499.1997 597075.659171),"POLYGON ((1430412.285773 597072.879203, 1430525.670007 597136.471778, 1430533.882492 597026.898361, 1430412.285773 597072.879203))"
Run 10_Camera 4 360_265_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_265_1.jpg,39.300850277777776,-76.58557166666667,174.849443,POINT (1429613.200075278 595425.3119435819),50977,1606 031,844 N PATTERSON PARK AVE,"POLYGON ((1429667.3652666372 595379.3137173099, 1429666.6049461127 595395.0136884863, 1429590.7352348259 595390.613557782, 1429591.2451871783 595380.1738756646, 1429591.485315355 595375.1736826423, 1429595.4845481492 595375.393330787, 1429667.3652666372 595379.3137173099))",POINT (1429629.1544609251 595385.0350887959),POINT (1429629.0305172645 595385.3937167233),33.33949560142043,43.32167416924634,158.36812056541828,16.481322434581728,49.82081803600216,POINT (1429613.200075 595425.311944),"POLYGON ((1429667.365267 595379.313717, 1429666.604946 595395.013688, 1429590.735235 595390.613558, 1429591.245187 595380.173876, 1429591.485315 595375.173683, 1429595.484548 595375.393331, 1429667.365267 595379.313717))",POINT (1429629.154461 595385.035089),POINT (1429629.030517 595385.393717),"POLYGON ((1429613.200075 595425.311944, 1429678.495687 595312.899831, 1429569.058612 595303.03549, 1429613.200075 595425.311944))"
Run 10_Camera 4 360_272_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_272_1.jpg,39.30084027777777,-76.58581972222221,176.4596452,POINT (1429543.0193661698 595421.3510564965),51018,1606 078,837 N MADEIRA ST,"POLYGON ((1429578.5752327873 595373.0243058944, 1429577.8149122533 595388.4938770427, 1429506.93515398 595384.3835384966, 1429507.354994263 595375.773744758, 1429507.5951224451 595370.7735517438, 1429578.5752327873 595373.0243058944))",POINT (1429543.4868170489 595379.202596294),POINT (1429542.6867951802 595380.0786416272),34.81649103883684,42.15105227353342,180.46167644308372,4.002031243083707,38.81852228192054,POINT (1429543.019366 595421.351056),"POLYGON ((1429578.575233 595373.024306, 1429577.814912 595388.493877, 1429506.935154 595384.383538, 1429507.354994 595375.773745, 1429507.595122 595370.773552, 1429578.575233 595373.024306))",POINT (1429543.486817 595379.202596),POINT (1429542.686795 595380.078642),"POLYGON ((1429543.019366 595421.351056, 1429605.130456 595307.14855, 1429495.45941 595300.363245, 1429543.019366 595421.351056))"
Run 10_Camera 4 360_36_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_36_1.jpg,39.30500472222222,-76.58270027777777,85.8960276,POINT (1430418.8571706945 596942.1882120218),48292,1538 001,2500 E BIDDLE ST,"POLYGON ((1430477.6750267684 596888.9337561581, 1430477.5250106566 596891.9340767629, 1430474.4151205015 596955.4538336287, 1430474.2753444118 596958.4536422276, 1430459.4851974188 596957.7537377427, 1430463.255055852 596888.1637076652, 1430477.6750267684 596888.9337561581))",POINT (1430468.6612567694 596923.4697846564),POINT (1430468.6501814555 596923.6939551958),41.41053034169201,53.20551205273219,110.3761419432841,24.4801143432841,65.89064468497611,POINT (1430418.857171 596942.188212),"POLYGON ((1430477.675027 596888.933756, 1430477.525011 596891.934077, 1430474.415121 596955.453834, 1430474.275344 596958.453642, 1430459.485197 596957.753738, 1430463.255056 596888.163708, 1430477.675027 596888.933756))",POINT (1430468.661257 596923.469785),POINT (1430468.650181 596923.693955),"POLYGON ((1430418.857171 596942.188212, 1430532.443176 597005.419687, 1430540.306967 596895.820692, 1430418.857171 596942.188212))"
Run 10_Camera 4 360_56_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_56_1.jpg,39.311211111111106,-76.61554861111111,177.2156327,POINT (1421114.126535749 599161.9318956862),19175,0389 020A,27 E NORTH AVE,"POLYGON ((1421133.7135318313 598886.5838588417, 1421124.3434138165 599057.7434454728, 1421124.1831577166 599060.7442780721, 1421103.6135535783 599059.6240213587, 1421103.773297675 599056.6242127395, 1421109.0335890525 598960.4439692879, 1421081.5033435072 598958.9340803133, 1421078.4630868887 598958.7041922053, 1421075.4535502873 598958.4640640857, 1421079.3631848695 598883.6239849393, 1421081.8233453685 598883.7642730336, 1421133.7135318313 598886.5838588417))",POINT (1421108.5699362678 598951.9755712583),POINT (1421116.7204096965 599008.5340910137),101.58477601142455,210.02984065377373,179.03125166787038,1.8156189678703925,103.40039497929494,POINT (1421114.126536 599161.931896),"POLYGON ((1421133.713532 598886.583859, 1421124.343414 599057.743445, 1421124.183158 599060.744278, 1421103.613554 599059.624021, 1421103.773298 599056.624213, 1421109.033589 598960.443969, 1421081.503344 598958.93408, 1421078.463087 598958.704192, 1421075.45355 598958.464064, 1421079.363185 598883.623985, 1421081.823345 598883.764273, 1421133.713532 598886.583859))",POINT (1421108.569936 598951.975571),POINT (1421116.72041 599008.534091),"POLYGON ((1421114.126536 599161.931896, 1421174.725421 599046.919831, 1421064.974395 599041.582126, 1421114.126536 599161.931896))"
Run 10_Camera 4 360_71_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_71_3.jpg,39.2940125,-76.65642944444446,355.8248915,POINT (1409570.4997176756 592851.5317917146),77989,2206B024,2500 LAURETTA AVE,"POLYGON ((1409558.9713585654 592954.3327745307, 1409559.210974725 592949.33258152, 1409562.5410250516 592880.4127595576, 1409576.2810598267 592880.972376005, 1409572.7108813347 592954.8826629616, 1409558.9713585654 592954.3327745307))",POINT (1409567.6254567173 592917.65039428),POINT (1409567.7462484671 592915.1524787624),29.180923351467804,66.18104699424227,357.5218159301528,1.6969244301528192,30.877847781620623,POINT (1409570.499718 592851.531792),"POLYGON ((1409558.971359 592954.332775, 1409559.210975 592949.332582, 1409562.541025 592880.41276, 1409576.28106 592880.972376, 1409572.710881 592954.882663, 1409558.971359 592954.332775))",POINT (1409567.625457 592917.650394),POINT (1409567.746248 592915.152479),"POLYGON ((1409570.499718 592851.531792, 1409507.127268 592965.039204, 1409616.716415 592973.039063, 1409570.499718 592851.531792))"
Run 10_Camera 4 360_73_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_73_3.jpg,39.294015277777774,-76.65635972222223,355.2972816,POINT (1409590.2285643374 592852.6178163427),77989,2206B024,2500 LAURETTA AVE,"POLYGON ((1409558.9713585654 592954.3327745307, 1409559.210974725 592949.33258152, 1409562.5410250516 592880.4127595576, 1409576.2810598267 592880.972376005, 1409572.7108813347 592954.8826629616, 1409558.9713585654 592954.3327745307))",POINT (1409567.6254567173 592917.65039428),POINT (1409567.7462484671 592915.1524787624),31.599271126347155,68.8486504388094,340.2255924450605,15.07168915493952,46.670960281286675,POINT (1409590.228564 592852.617816),"POLYGON ((1409558.971359 592954.332775, 1409559.210975 592949.332582, 1409562.541025 592880.41276, 1409576.28106 592880.972376, 1409572.710881 592954.882663, 1409558.971359 592954.332775))",POINT (1409567.625457 592917.650394),POINT (1409567.746248 592915.152479),"POLYGON ((1409590.228564 592852.617816, 1409525.81358 592965.536857, 1409635.324414 592974.545518, 1409590.228564 592852.617816))"
Run 10_Camera 4 360_77_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_77_3.jpg,39.294021666666666,-76.65621972222223,354.081067,POINT (1409629.8423421087 592855.0940283757),77887,2205 049,2450 LAURETTA AVE,"POLYGON ((1409655.5212659969 592960.1526820237, 1409638.541294577 592959.3027614382, 1409642.1611370698 592885.3924744749, 1409659.1411085012 592886.2423950525, 1409658.8912523147 592891.2425880706, 1409655.761394172 592955.1524890015, 1409655.5212659969 592960.1526820237))",POINT (1409648.8389362702 592922.7725337645),POINT (1409648.8179566078 592923.197538536),32.707010644766385,70.29403019742551,15.569380058043222,21.488313058043218,54.1953237028096,POINT (1409629.842342 592855.094028),"POLYGON ((1409655.521266 592960.152682, 1409638.541295 592959.302761, 1409642.161137 592885.392474, 1409659.141109 592886.242395, 1409658.891252 592891.242588, 1409655.761394 592955.152489, 1409655.521266 592960.152682))",POINT (1409648.838936 592922.772534),POINT (1409648.817957 592923.197539),"POLYGON ((1409629.842342 592855.094028, 1409563.045123 592966.6204, 1409672.340074 592977.951437, 1409629.842342 592855.094028))"
Run 10_Camera 4 360_81_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_81_1.jpg,39.29403,-76.65608055555556,354.674183,POINT (1409669.2175959202 592858.2776386834),77886,2205 048,2448 LAURETTA AVE,"POLYGON ((1409672.4213671656 592886.9023634983, 1409672.1715110021 592891.9025565155, 1409668.791284674 592960.8223784623, 1409655.5212659969 592960.1526820237, 1409655.761394172 592955.1524890015, 1409658.8912523147 592891.2425880706, 1409659.1411085012 592886.2423950525, 1409672.4213671656 592886.9023634983))",POINT (1409663.965715171 592923.5269125741),POINT (1409663.9653014215 592923.5275227586),28.43042717599909,65.4602932674262,355.39789436696776,0.7237113669677342,29.154138542966823,POINT (1409669.217596 592858.277639),"POLYGON ((1409672.421367 592886.902363, 1409672.171511 592891.902557, 1409668.791285 592960.822378, 1409655.521266 592960.152682, 1409655.761394 592955.152489, 1409658.891252 592891.242588, 1409659.141109 592886.242395, 1409672.421367 592886.902363))",POINT (1409663.965715 592923.526913),POINT (1409663.965301 592923.527523),"POLYGON ((1409669.217596 592858.277639, 1409603.578436 592970.489495, 1409712.984827 592980.688543, 1409669.217596 592858.277639))"
Run 10_Camera 4 360_82_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 10_Camera 4 360_82_1.jpg,39.29403166666666,-76.656045,355.04091136,POINT (1409679.278174069 592858.9226024868),77885,2205 047,2446 LAURETTA AVE,"POLYGON ((1409686.5110980147 592887.6130199862, 1409686.2607298328 592892.6024609932, 1409683.1313836738 592956.5226019276, 1409682.8917675137 592961.5233069429, 1409668.791284674 592960.8223784623, 1409672.1715110021 592891.9025565155, 1409672.4213671656 592886.9023634983, 1409686.5110980147 592887.6130199862))",POINT (1409677.649859044 592924.218246146),POINT (1409677.632866928 592924.5625314604),28.289642661895957,65.31594361784012,358.5641450040964,3.523233644096422,31.81287630599238,POINT (1409679.278174 592858.922602),"POLYGON ((1409686.511098 592887.61302, 1409686.26073 592892.602461, 1409683.131384 592956.522602, 1409682.891768 592961.523307, 1409668.791285 592960.822378, 1409672.171511 592891.902557, 1409672.421367 592886.902363, 1409686.511098 592887.61302))",POINT (1409677.649859 592924.218246),POINT (1409677.632867 592924.562531),"POLYGON ((1409679.278174 592858.922602, 1409614.358579 592971.552289, 1409723.828008 592981.050864, 1409679.278174 592858.922602))"
