filename,image_path,latitude,longitude,heading
Run 12_Camera 4 360_196_3 (2).jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_196_3 (2).jpg,39.29917888888889,-76.65501527777778,267.453436
Run 12_Camera 4 360_196_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_196_3.jpg,39.30224888888888,-76.5944036111111,266.0585714
Run 12_Camera 4 360_218_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_218_3.jpg,39.30285833333333,-76.5944425,265.6902306
Run 12_Camera 4 360_23_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_23_3.jpg,39.311105,-76.61845027777777,176.281225
Run 12_Camera 4 360_34_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_34_1.jpg,39.29584944444444,-76.6532763888889,266.13608675
Run 12_Camera 4 360_60_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_60_3.jpg,39.30061361111111,-76.59161138888888,176.3667382
Run 12_Camera 4 360_69_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_69_3.jpg,39.296817222222224,-76.65332611111111,266.058617
Run 12_Camera 4 360_77_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_77_3.jpg,39.297038055555554,-76.65334027777779,266.0596488
Run 12_Camera 4 360_82_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_82_1.jpg,39.297177777777776,-76.65334777777778,266.454086
Run 12_Camera 4 360_90_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_90_3.jpg,39.297401388888886,-76.65335944444445,266.1900464
Run 12_Camera 4 360_92_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_92_1.jpg,39.29745722222222,-76.6533625,265.95801
Run 12_Camera 4 360_99_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 12_Camera 4 360_99_3.jpg,39.29765111111111,-76.65337416666667,265.9359414
Run 13_Camera 4 360_199_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 13_Camera 4 360_199_3.jpg,39.31081194444444,-76.62608194444444,174.2963776
Run 13_Camera 4 360_20_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 13_Camera 4 360_20_3.jpg,39.300019999999996,-76.65506444444445,266.0360984
Run 13_Camera 4 360_218_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 13_Camera 4 360_218_1.jpg,39.31077416666666,-76.6267575,174.301132
Run 13_Camera 4 360_21_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 13_Camera 4 360_21_3.jpg,39.30004722222222,-76.65506611111111,266.352365
Run 13_Camera 4 360_41_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 13_Camera 4 360_41_3.jpg,39.30526138888889,-76.59459055555556,266.096619
Run 13_Camera 4 360_54_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 13_Camera 4 360_54_3.jpg,39.30095,-76.65512027777778,265.954977
Run 14_Camera 4 360_10_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 14_Camera 4 360_10_1.jpg,39.29935666666667,-76.65658777777779,86.3725296
Run 14_Camera 4 360_17_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 14_Camera 4 360_17_1.jpg,39.29916361111111,-76.65657750000001,86.25196608
Run 14_Camera 4 360_35_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 14_Camera 4 360_35_3.jpg,39.29867,-76.65655194444444,87.1167492
Run 14_Camera 4 360_51_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 14_Camera 4 360_51_1.jpg,39.30978833333333,-76.59487388888888,265.5809792
Run 14_Camera 4 360_52_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 14_Camera 4 360_52_3.jpg,39.30981555555555,-76.59487555555555,265.4841206
Run 14_Camera 4 360_66_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 14_Camera 4 360_66_3.jpg,39.310447777777775,-76.63439472222223,175.65156
Run 14_Camera 4 360_84_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 14_Camera 4 360_84_3.jpg,39.31041916666666,-76.63503194444445,175.117269
Run 15_Camera 4 360_117_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_117_3.jpg,39.31021944444444,-76.6394125,175.3023869
Run 15_Camera 4 360_121_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_121_1.jpg,39.31021305555555,-76.63955472222223,175.6007334
Run 15_Camera 4 360_27_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_27_3.jpg,39.29783916666666,-76.65650833333333,85.980213
Run 15_Camera 4 360_33_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_33_3.jpg,39.310354999999994,-76.6364188888889,175.3205298
Run 15_Camera 4 360_38_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_38_3.jpg,39.29753638888889,-76.65649305555556,86.88328
Run 15_Camera 4 360_53_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_53_3.jpg,39.29712222222222,-76.6564738888889,86.3392948
Run 15_Camera 4 360_65_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_65_3.jpg,39.31030277777778,-76.63755555555556,175.5355197
Run 15_Camera 4 360_74_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_74_1.jpg,39.31028944444444,-76.63787555555557,175.9184929
Run 15_Camera 4 360_74_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_74_3.jpg,39.31028944444444,-76.63787555555557,175.9184929
Run 15_Camera 4 360_7_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_7_3.jpg,39.31190972222222,-76.59501,266.3477045
Run 15_Camera 4 360_91_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 15_Camera 4 360_91_3.jpg,39.31025888888889,-76.63848166666668,176.2813521
Run 16_Camera 4 360_125_3 (2).jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_125_3 (2).jpg,39.29524277777777,-76.65327805555556,87.366228
Run 16_Camera 4 360_125_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_125_3.jpg,39.3159875,-76.59949805555556,127.9297311
Run 16_Camera 4 360_126_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_126_1.jpg,39.31596611111111,-76.59952027777777,127.9823872
Run 16_Camera 4 360_134_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_134_3.jpg,39.315794999999994,-76.59970222222222,128.1482138
Run 16_Camera 4 360_17_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_17_3.jpg,39.31017027777777,-76.64050861111112,175.7334882
Run 16_Camera 4 360_18_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_18_1.jpg,39.31457416666667,-76.5975625,307.254367
Run 16_Camera 4 360_20_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_20_3.jpg,39.29622861111111,-76.65590722222223,355.7503728
Run 16_Camera 4 360_23_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_23_1.jpg,39.310161388888886,-76.64072055555556,175.7145856
Run 16_Camera 4 360_23_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_23_3.jpg,39.296232499999995,-76.65580138888889,356.6000625
Run 16_Camera 4 360_2_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_2_1.jpg,39.31019611111111,-76.63998055555557,175.4392644
Run 16_Camera 4 360_32_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_32_3.jpg,39.31014916666666,-76.64103972222223,176.3444195
Run 16_Camera 4 360_61_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_61_1.jpg,39.295877777777775,-76.65485611111112,87.0957223
Run 16_Camera 4 360_72_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_72_1.jpg,39.29560166666666,-76.65478166666668,29.7115532
Run 16_Camera 4 360_75_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_75_3.jpg,39.31568444444444,-76.59816777777777,218.535277
Run 16_Camera 4 360_76_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_76_1.jpg,39.31570166666666,-76.59819499999999,218.850414
Run 16_Camera 4 360_78_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_78_3.jpg,39.29557,-76.65458305555556,358.498829
Run 16_Camera 4 360_86_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_86_1.jpg,39.31587527777778,-76.59846638888888,217.595564
Run 16_Camera 4 360_94_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 16_Camera 4 360_94_1.jpg,39.295583055555554,-76.65401222222222,356.78555
Run 17_Camera 4 360_123_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_123_1.jpg,39.29688972222222,-76.64967361111111,174.417086
Run 17_Camera 4 360_174_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_174_3.jpg,39.29745444444444,-76.65019805555556,356.4837144
Run 17_Camera 4 360_18_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_18_3.jpg,39.29537583333333,-76.65045222222223,265.512864
Run 17_Camera 4 360_191_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_191_3.jpg,39.297475,-76.64959944444445,357.019826
Run 17_Camera 4 360_199_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_199_3.jpg,39.29748055555555,-76.64931972222223,356.922933
Run 17_Camera 4 360_215_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_215_3.jpg,39.29749972222222,-76.64875777777779,356.6324045
Run 17_Camera 4 360_218_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_218_1.jpg,39.29750277777777,-76.64865277777778,356.665169
Run 17_Camera 4 360_245_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_245_1.jpg,39.296972777777775,-76.64828333333334,86.3231921
Run 17_Camera 4 360_245_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_245_3.jpg,39.310583888888885,-76.59513805555555,85.7267894
Run 17_Camera 4 360_267_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_267_1.jpg,39.29638972222222,-76.64822722222223,37.42460824
Run 17_Camera 4 360_26_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_26_1.jpg,39.29559611111111,-76.65046833333334,266.03279424
Run 17_Camera 4 360_302_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_302_3.jpg,39.30901055555555,-76.59504249999999,85.96257848
Run 17_Camera 4 360_304_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_304_1.jpg,39.296392777777776,-76.64694361111111,355.869816
Run 17_Camera 4 360_309_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_309_1.jpg,39.308817777777776,-76.59503027777777,85.64579145
Run 17_Camera 4 360_315_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_315_1.jpg,39.29640138888889,-76.64655583333334,357.971556
Run 17_Camera 4 360_320_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_320_3.jpg,39.308515,-76.59500833333333,86.0637624
Run 17_Camera 4 360_322_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_322_1.jpg,39.29645444444444,-76.64634472222222,292.787994
Run 17_Camera 4 360_33_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_33_1.jpg,39.314929166666666,-76.59927805555554,37.29042044
Run 17_Camera 4 360_367_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_367_1.jpg,39.29759972222222,-76.64647361111112,182.2398047
Run 17_Camera 4 360_37_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_37_3.jpg,39.295896388888885,-76.6504863888889,266.9316864
Run 17_Camera 4 360_392_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_392_3.jpg,39.30652333333333,-76.59488666666667,86.7867785
Run 17_Camera 4 360_3_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_3_1.jpg,39.315482499999995,-76.59998888888889,104.2952452
Run 17_Camera 4 360_410_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_410_1.jpg,39.298633333333335,-76.64675666666668,268.8146146
Run 17_Camera 4 360_423_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_423_3.jpg,39.30567083333333,-76.59483166666666,86.49555
Run 17_Camera 4 360_446_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_446_1.jpg,39.299615277777775,-76.64676666666668,266.475636
Run 17_Camera 4 360_449_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_449_3.jpg,39.29969666666666,-76.64677166666668,265.727847
Run 17_Camera 4 360_452_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_452_3.jpg,39.30531916666666,-76.59551416666666,175.9029082
Run 17_Camera 4 360_536_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_536_1.jpg,39.30676361111111,-76.59671999999999,266.637653
Run 17_Camera 4 360_80_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_80_1.jpg,39.296302222222224,-76.64938166666667,358.0372592
Run 17_Camera 4 360_83_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 17_Camera 4 360_83_1.jpg,39.296303888888886,-76.64927666666668,357.1491915
Run 18_Camera 4 360_105_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_105_3.jpg,39.3099725,-76.64494555555557,175.3608788
Run 18_Camera 4 360_10_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_10_1.jpg,39.30737166666666,-76.59754944444444,174.7654195
Run 18_Camera 4 360_110_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_110_1.jpg,39.30996444444444,-76.64512277777779,175.2885275
Run 18_Camera 4 360_110_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_110_3.jpg,39.30996444444444,-76.64512277777779,175.2885275
Run 18_Camera 4 360_116_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_116_3.jpg,39.309953888888884,-76.64533527777779,174.8085404
Run 18_Camera 4 360_117_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_117_1.jpg,39.30995194444444,-76.64537055555556,174.8037806
Run 18_Camera 4 360_124_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_124_3.jpg,39.30993944444444,-76.64561722222223,175.3102696
Run 18_Camera 4 360_134_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_134_3.jpg,39.30992416666666,-76.64596694444445,174.9762491
Run 18_Camera 4 360_137_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_137_3.jpg,39.30991861111111,-76.64607222222223,174.9455575
Run 18_Camera 4 360_14_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_14_3.jpg,39.31012666666666,-76.64171083333333,177.140098
Run 18_Camera 4 360_152_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_152_3.jpg,39.30989638888889,-76.64660444444445,175.0348325
Run 18_Camera 4 360_158_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_158_3.jpg,39.309885277777774,-76.64681777777778,174.6833964
Run 18_Camera 4 360_168_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_168_1.jpg,39.309866388888885,-76.64717333333334,174.9705838
Run 18_Camera 4 360_168_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_168_3.jpg,39.309866388888885,-76.64717333333334,174.9705838
Run 18_Camera 4 360_175_3.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_175_3.jpg,39.30985444444444,-76.64742444444445,175.4029372
Run 18_Camera 4 360_177_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_177_1.jpg,39.30985111111111,-76.64749583333334,175.4456515
Run 18_Camera 4 360_181_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_181_1.jpg,39.309844722222216,-76.64763888888889,175.5290008
Run 18_Camera 4 360_184_1.jpg,/Users/jiaweihu/Desktop/BBxB/Front_End_BBxB/Data/BBxBImages/Run 18_Camera 4 360_184_1.jpg,39.309839999999994,-76.64774527777779,175.28268928
